Title,Status,Rating,Genre,Image URL
A Soldier's Life,Ongoing,4.7 (70),"['Action', 'Adventure', 'Fantasy', 'Mature', 'Slice of Life', 'Historical', 'Adult']",https://static.lightnovelhub.org/bookcover/300x400/01677-a-soldiers-life.jpg
Release That Witch,Completed,4.7 (53),"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mature', 'Romance', 'Mystery', 'Supernatural', 'Seinen']",https://static.lightnovelhub.org/bookcover/300x400/00068-release-that-witch.jpg
Grandson of the Holy Emperor is a Necromancer,Completed,4.7 (51),"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Mature', 'Mystery', 'Supernatural', 'Horror']",https://static.lightnovelhub.org/bookcover/300x400/01270-grandson-of-the-holy-emperor-is-a-necromancer.jpg
The Author's POV,Completed,4.6 (624),"['Action', 'Adventure', 'Fantasy', 'Romance', 'Comedy']",https://static.lightnovelhub.org/bookcover/300x400/01238-the-authors-pov.jpg?v=18071011
The Villain Wants to Live,Completed,4.6 (236),"['Action', 'Fantasy', 'Romance', 'Comedy', 'School Life', 'Seinen']",https://static.lightnovelhub.org/bookcover/300x400/01209-the-villain-wants-to-live.jpg
Overgeared (WN KR),Completed,4.6 (103),"['Action', 'Adventure', 'Fantasy', 'Harem', 'Comedy', 'Sci-fi']",https://static.lightnovelhub.org/bookcover/300x400/00003-overgeared-wn.jpg
I'll Surpass The MC,Ongoing,4.6 (86),"['Action', 'Adventure', 'Fantasy', 'Eastern Fantasy']",https://static.lightnovelhub.org/bookcover/300x400/01648-ill-surpass-the-mc.jpg?v=03111041
Florida Man's General Store in Cultivation World,Ongoing,4.6 (81),"['Action', 'Fantasy', 'Martial Arts', 'Comedy', 'Slice of Life', 'Sci-fi']",https://static.lightnovelhub.org/bookcover/300x400/01635-florida-mans-general-store-in-cultivation-world.jpg
I Don’t Want to Be Loved (Web Novel),Completed,4.6 (73),"['Drama', 'Fantasy', 'Mature', 'Romance', 'Tragedy', 'Josei', 'Adult', 'Smut']",https://static.lightnovelhub.org/bookcover/300x400/00539-i-dont-want-to-be-loved-wn.jpg
Ranker Who Lives Twice,Completed,4.6 (70),"['Action', 'Adventure', 'Fantasy']",https://static.lightnovelhub.org/bookcover/300x400/00252-ranker-who-lives-twice.jpg
Ending Maker,Completed,4.6 (61),"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Romance', 'Comedy', 'Shounen', 'Seinen']",https://static.lightnovelhub.org/bookcover/300x400/00738-ending-maker.jpg
Predatory Marriage (Web Novel),Completed,4.6 (58),"['Fantasy', 'Mature', 'Romance', 'Ecchi', 'Slice of Life', 'Josei', 'Historical', 'Adult', 'Smut']",https://static.lightnovelhub.org/bookcover/300x400/00533-predatory-marriage-wn.jpg
Nanomancer Reborn - I've Become A Snow Girl?,Completed,4.6 (53),"['Fantasy', 'Romance', 'Fantasy Romance']",https://static.lightnovelhub.org/bookcover/300x400/00706-nanomancer-reborn-ive-become-a-snow-girl.jpg
Reborn as a Demonic Tree,Ongoing,4.6 (52),"['Fantasy', 'Mature', 'Slice of Life', 'Seinen']",https://static.lightnovelhub.org/bookcover/300x400/01601-reborn-as-a-demonic-tree.jpg
